model,category,precision,recall,f1_score
mZ-score,Baseline,0.4620,0.6213,0.3859
IQR Method,Baseline,0.5205,0.4929,0.4143
Local Outlier Factor,Task-Specific,0.4785,0.4683,0.4138
Isolation Forest,Task-Specific,0.5490,0.5097,0.4930
VAE,Task-Specific,0.7978,0.7471,0.7280
TimeGPT,Zero-Shot,0.2963,0.2980,0.2850
MOMENT,Zero-Shot,0.6834,0.7039,0.6448
UniTS,Zero-Shot,0.5345,0.6950,0.5259
TSPulse,Zero-Shot,0.7568,0.8015,0.7413
Energy-TSPulse,Zero-Shot,0.7954,0.9102,0.8220
MOMENT,Transfer Learning,0.7412,0.6644,0.6495
UniTS,Transfer Learning,0.6288,0.7261,0.6012
TSPulse,Transfer Learning,0.7552,0.9105,0.7999
