model,category,precision,recall,f1_score
Naive (Majority),Baseline,0.3989,0.5000,0.4428
Random Forest,Task-Specific,0.6810,0.6869,0.6423
cBOSS,Task-Specific,0.7472,0.6653,0.6832
KNNeucli,Task-Specific,0.7067,0.6772,0.6908
RISE,Task-Specific,0.7783,0.7141,0.7195
TimeSeriesForest,Task-Specific,0.7385,0.7294,0.7216
MiniRocket,Task-Specific,0.8237,0.7610,0.7692
Arsenal,Task-Specific,0.8397,0.7824,0.7990
UniTS,Transfer Learning,0.5486,0.5284,0.5060
MOMENT,Transfer Learning,0.6793,0.8129,0.6146
TSPulse,Transfer Learning,0.7216,0.6517,0.6650
Energy-TSPulse,Zero-Shot,0.7851,0.7333,0.7616
